common phrase 254	सामान्य वाक्य 254
common phrase 255	सामान्य वाक्य 255
common phrase 256	सामान्य वाक्य 256
common phrase 257	सामान्य वाक्य 257
common phrase 258	सामान्य वाक्य 258
common phrase 259	सामान्य वाक्य 259
common phrase 260	सामान्य वाक्य 260
number 0	संख्या 0
number 1	संख्या 1
number 2	संख्या 2
number 3	संख्या 3
number 4	संख्या 4
number 5	संख्या 5
number 6	संख्या 6
number 7	संख्या 7
number 8	संख्या 8
number 9	संख्या 9
number 10	संख्या 10
number 11	संख्या 11
number 12	संख्या 12
number 13	संख्या 13
number 14	संख्या 14
number 15	संख्या 15
number 16	संख्या 16
number 17	संख्या 17
number 18	संख्या 18
number 19	संख्या 19
number 20	संख्या 20
number 21	संख्या 21
number 22	संख्या 22
number 23	संख्या 23
number 24	संख्या 24
number 25	संख्या 25
number 26	संख्या 26
number 27	संख्या 27
number 28	संख्या 28
number 29	संख्या 29
number 30	संख्या 30
number 31	संख्या 31
number 32	संख्या 32
number 33	संख्या 33
number 34	संख्या 34
number 35	संख्या 35
number 36	संख्या 36
number 37	संख्या 37
number 38	संख्या 38
number 39	संख्या 39
number 40	संख्या 40
